chapt_title	data_level	url	img_path
Machine Learning	1	https://hutchdatascience.org/Machine-Learning/index.html	./resources/chapt_screen_images/index.png
Introduction	2	https://hutchdatascience.org/Machine-Learning/intro.html	./resources/chapt_screen_images/intro.png
New Chapter	3	https://hutchdatascience.org/Machine-Learning/first-section-new-chapter.html	./resources/chapt_screen_images/first-section-new-chapter.png
Conclusion	4	https://hutchdatascience.org/Machine-Learning/conclusion.html	./resources/chapt_screen_images/conclusion.png
